stop_id,arrivals,stop_name,stop_desc,stop_lat,stop_lon,degree_centrality
530015186,29,Av. Pedro Alvares Cabral,Ref.: Av Quarto Centenario/ Complexo Viario Ayrton Senna,-23.589427,-46.652329,0.00014353380221042054
360007752,29,"Av. Itaquera, 7962",Ref.: R Antonio Soares Lara/ R Barra De Guabiraba,-23.542163,-46.458138,0.0001913784029472274
8615285,29,"Av. Mal. Tito, 2813",Ref.: Concessionária Fiat,-23.493859,-46.417445,0.0001913784029472274
7206891,28,"Av. Mário Lopes Leão, 120",Ref.: R. Vol. Delmiro Sampaio / Praça Salim Farah Maluf,-23.650368,-46.706978,0.0004784460073680685
100014543,28,Jairo Góes,"R. Do Gasômetro, 338 Ref.: R Da Alfandega/ R Vasco Da Gama",-23.544371,-46.623046,0.0010047366154729439
60016801,28,"Av. Auro Soares De Moura Andrade, 0",Ref.: R Deputado Salvador Julianeli/ R Pedro Machado,-23.526709,-46.66751,0.000956892014736137
860012122,28,"Av. Mal. Tito, 2076",Ref.: R Julio Cerqueira Cesar/ R Jose Augusto Escobar,-23.494649,-46.425844,0.00023922300368403425
530015318,28,Juruce B/C,"Av. Ibirapuera, 2681 Ref.: Av Aratas/ Av Juruce",-23.606836,-46.66517,0.00023922300368403425
360012321,28,"R. Tomazzo Ferrara, 650",Ref.: R Fernandes De Sa/ R Salim Jorge Id,-23.541871,-46.46065,0.0011004258169465574
80014492,28,Parada 1/2/3 - João Boemer,"Av. Celso Garcia, 499 Ref.: R Bresser/ R João Boemer",-23.539066,-46.607446,9.56892014736137e-05
80014495,28,Parada 1/2/3 - Júlio Cesar Da Silva,"Av. Celso Garcia, 729 Ref.: R Firminiano Pinto/ R Julio Cesar Da Silva",-23.538741,-46.60534,0.00014353380221042054
100014329,28,Parada 1/2/3 - Rubino De Oliveira,"Av. Celso Garcia, 109 Ref.: R Rubino De Oliveira/ R Doutor Costa Valente",-23.539908,-46.611319,0.0001913784029472274
3608991,28,R. Lagoa Salgada,Ref.: E.t. Itaquera,-23.534992,-46.454524,0.0004784460073680685
860012107,28,"Av. Mal. Tito, 3333",Ref.: Av Dos Ipes/ Av Caraipe Das Aguas,-23.494477,-46.414106,0.0001913784029472274
710000972,28,"Av. Cruzeiro Do Sul, 2424",Ref.: R Manoel Dos Santos Netto/ Av Gen. Ataliba Leonel,-23.509648,-46.624735,0.0002870676044208411
530015319,27,Moema B/C,"Av. Ibirapuera, 2119 Ref.: Av Sabia/ Av Juriti",-23.603016,-46.661581,9.56892014736137e-05
480014608,27,Tiberio C/B,"R. Guaicurus, 324 Ref.: R Tiberio/ R Menfis",-23.522875,-46.688219,0.0001913784029472274
530015320,27,Republica Do Libano B/C,"Av. Ibirapuera, 1599 Ref.: Av Indianopolis/ R Prestes Joao",-23.599261,-46.658076,0.0001913784029472274
480012874,27,"R. Brig. Gavião Peixoto, 213",Ref.: Vel Antonio Mariz/ Av Mercedes,-23.525654,-46.712343,9.56892014736137e-05
640000381,27,Guerino C/B,"Av. Raimundo Pereira De Magalhães, 5435 Ref.: R Coracao De Bugre/ Av Miguel De Castro",-23.48455,-46.723093,0.0008133582125257165
360012319,27,"R. Tomazzo Ferrara, 732",Ref.: R Nicolino Mastrocola/ R Flores Do Piaui,-23.539344,-46.456918,0.00014353380221042054
1603326,27,"Av. Interlagos, 2068",Ref.: R. José Homero Roxo / R. João Faustino,-23.672171,-46.677719,0.00023922300368403425
860012124,27,"Av. Mal. Tito, 2504",Ref.: Av Cavoa/ R Padre Diogo,-23.494154,-46.422071,9.56892014736137e-05
80014491,27,Parada 1/2/3 - Júlio César Da Silva,"Av. Celso Garcia, 928 Ref.: R Gonçalves Dias/ R Cesario Alvim",-23.538577,-46.603367,0.00033491220515764796
860012108,27,"Av. Mal. Tito, 2613",Ref.: R Padre Diogo/ R Gendiroba,-23.493976,-46.420331,9.56892014736137e-05
480012873,27,"R. Brig. Gavião Peixoto, 651",Ref.: R Eleuterio Prado/ Av Mercedes,-23.524954,-46.716374,0.00014353380221042054
4203816,27,"Estr. Do M Boi Mirim, 5180",Ref.: Oposto Ao Term. Jd. Angela,-23.690217,-46.774301,0.0004784460073680685
80014483,27,Parada 1/2/3 - Catumbi,"Av. Celso Garcia, 1637 Ref.: R Belem/ R Martim Afonso",-23.537587,-46.596381,0.0001913784029472274
8210236,27,"R. Melo Freire, 4952",Ref.: Rua Pedro Bellegarde/ Rua Antonio De Barros,-23.537084,-46.558344,0.0006698244103152959
480014609,27,Duilio C/B,"R. Guaicurus, 670 Ref.: R Duilio/ R Claudio",-23.522627,-46.692121,0.0001913784029472274
650005647,27,"Av. S. Miguel, 3391",Ref.: R Ibitiura De Minas/ R Professor Aristobulo De Freitas,-23.510882,-46.500156,0.00023922300368403425
480012875,27,"R. Br. De Jundiaí, 545",Ref.: R Guaricanga/ Vl. Maria Olga Piva Menoncello,-23.52518,-46.710044,0.00014353380221042054
650005666,26,"Av. S. Miguel, 1399",Ref.: R Mauricio Bueno/ R Diario De Sao Paulo,-23.513252,-46.517118,0.00023922300368403425
860012106,26,"Av. Mal. Tito, 3523",Ref.: R Doutor Gil Martins/ R Ficheira,-23.49483,-46.411507,0.00014353380221042054
3608117,26,"R. Castelo Do Piauí, 683",Ref.: Av Itaquera,-23.54351,-46.462287,0.0011482704176833643
260016857,26,Pedro Taques B/C,"R. Da Consolação, 1759 Ref.: R Coronel Jose Eusebio/ R Pedro Taques",-23.551843,-46.657399,0.00014353380221042054
3608920,26,Plataforma A - Et. Itaquera,E. T. Itaquera Plat. A,-23.534391,-46.453165,0.0005741352088416822
720010450,26,"R. S. Leônidas, 131",Ref.: R Jose Garrupa/ R Joao Alfredo,-23.658973,-46.701417,0.00023922300368403425
1010082,26,"R. Da Figueira, 249",,-23.547134,-46.62647,0.0011482704176833643
3014852,26,"Av. Da. Belmira Marin, 1618",,-23.744504,-46.690468,9.56892014736137e-05
760012114,26,"R. Beraldo Marcondes, 128",Ref.: R Tenente Luis Fernando Lobo/ R Miguel Angelo Lapena,-23.492955,-46.442925,0.00023922300368403425
150015663,26,Vieira De Morais B/C,"Av. Ver. José Diniz, 3360 Ref.: R Pascal/ R Vieira De Moraes",-23.618226,-46.675893,9.56892014736137e-05
820012541,26,Parada 1/2/3 - Hospital Cristo Rei,"Av. Celso Garcia, 5019 Ref.: R Dom Aquino Correa/ R São Jorge",-23.533157,-46.564222,0.0002870676044208411
360012322,26,"Av. Itaquera, 7085",Ref.: R Lagoa Tai Grande/ R Benedito Coelho Neto,-23.548577,-46.461809,0.0002870676044208411
